100 -.62818556E+03
101 -.62818562E+03
102 -.62818549E+03
103 -.62818570E+03
104 -.62818574E+03
105 -.62818588E+03
106 -.62818587E+03
107 -.62818604E+03
108 -.62818596E+03
109 -.62818602E+03
10 -.62803725E+03
110 -.62818614E+03
111 -.62818627E+03
112 -.62818628E+03
113 -.62818626E+03
114 -.62818642E+03
115 -.62818653E+03
116 -.62818683E+03
117 -.62818697E+03
11 -.62801838E+03
12 -.62807379E+03
13 -.62808052E+03
14 -.62809469E+03
15 -.62810460E+03
16 -.62811208E+03
17 -.62811322E+03
18 -.62811794E+03
19 -.62812400E+03
1 -.62553956E+03
20 -.62812776E+03
21 -.62813249E+03
22 -.62813531E+03
23 -.62814116E+03
24 -.62814552E+03
25 -.62813831E+03
26 -.62814528E+03
27 -.62814704E+03
28 -.62814762E+03
29 -.62814969E+03
2 -.62688225E+03
30 -.62815148E+03
31 -.62815281E+03
32 -.62815499E+03
33 -.62816100E+03
34 -.62815847E+03
35 -.62816329E+03
36 -.62816284E+03
37 -.62816293E+03
38 -.62816438E+03
39 -.62816479E+03
3 -.62754373E+03
40 -.62816489E+03
41 -.62816614E+03
42 -.62816595E+03
43 -.62816724E+03
44 -.62816823E+03
45 -.62816906E+03
46 -.62816958E+03
47 -.62816919E+03
48 -.62816925E+03
49 -.62817032E+03
4 -.62767653E+03
50 -.62817127E+03
51 -.62817351E+03
52 -.62817518E+03
53 -.62817741E+03
54 -.62817536E+03
55 -.62817703E+03
56 -.62817687E+03
57 -.62817674E+03
58 -.62817737E+03
59 -.62817757E+03
5 -.62776779E+03
60 -.62817807E+03
61 -.62817831E+03
62 -.62817855E+03
63 -.62817884E+03
64 -.62817933E+03
65 -.62817965E+03
66 -.62817935E+03
67 -.62817912E+03
68 -.62817965E+03
69 -.62817962E+03
6 -.62790431E+03
70 -.62817976E+03
71 -.62818029E+03
72 -.62818002E+03
73 -.62818057E+03
74 -.62818135E+03
75 -.62818201E+03
76 -.62818219E+03
77 -.62818260E+03
78 -.62818268E+03
79 -.62818305E+03
7 -.62772051E+03
80 -.62818328E+03
81 -.62818347E+03
82 -.62818366E+03
83 -.62818378E+03
84 -.62818402E+03
85 -.62818386E+03
86 -.62818419E+03
87 -.62818420E+03
88 -.62818436E+03
89 -.62818451E+03
8 -.62799581E+03
90 -.62818465E+03
91 -.62818479E+03
92 -.62818496E+03
93 -.62818489E+03
94 -.62818490E+03
95 -.62818507E+03
96 -.62818504E+03
97 -.62818488E+03
98 -.62818529E+03
99 -.62818541E+03
9 -.62801349E+03
