1 -.12471469E+04 39.1750
2 -.12516198E+04 39.8460
3 -.12542806E+04 39.9041
4 -.12550510E+04 39.9410
5 -.12553979E+04 39.9591
6 -.12555198E+04 39.9692
7 -.12557176E+04 39.9769
8 -.12557162E+04 39.9823
9 -.12559019E+04 39.9869
10 -.12559210E+04 39.9902
11 -.12559423E+04 39.9925
12 -.12559645E+04 39.9940
13 -.12559765E+04 39.9951
14 -.12559905E+04 39.9961
15 -.12559973E+04 39.9966
16 -.12560122E+04 39.9972
17 -.12560455E+04 39.9979
18 -.12560695E+04 39.9983
19 -.12560757E+04 39.9986
20 -.12560814E+04 39.9988
21 -.12560937E+04 39.9991
22 -.12560940E+04 39.9991
23 -.12560971E+04 39.9992
24 -.12560995E+04 39.9993
25 -.12561016E+04 39.9993
26 -.12561032E+04 39.9994
27 -.12561059E+04 39.9995
28 -.12561129E+04 39.9996
29 -.12561245E+04 39.9997
30 -.12561198E+04 39.9997
31 -.12561234E+04 39.9998
32 -.12561245E+04 39.9998
33 -.12561258E+04 39.9998
34 -.12561252E+04 39.9998
35 -.12561252E+04 39.9998
36 -.12561251E+04 39.9999
37 -.12561255E+04 39.9999
38 -.12561262E+04 39.9999
39 -.12561269E+04 39.9999
40 -.12561291E+04 39.9999
41 -.12561297E+04 39.9999
42 -.12561305E+04 39.9999
43 -.12561318E+04 39.9999
44 -.12561340E+04 39.9999
45 -.12561317E+04 39.9999
46 -.12561299E+04 40.0000
47 -.12561333E+04 40.0000
48 -.12561339E+04 40.0000
49 -.12561341E+04 40.0000
50 -.12561348E+04 40.0000
51 -.12561356E+04 40.0000
52 -.12561360E+04 40.0000
53 -.12561366E+04 40.0000
54 -.12561373E+04 40.0000
55 -.12561384E+04 40.0000
